t_us,gap_us,sync,len,type,is_extended,ext_dest,ext_src,crc_rx,crc_calc,crc_ok,hex
10171667708,100122,0xEE,0x18,0x16,0,,,0xB5,0xB5,1,ee 18 16 e0 d3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c b5
10171667800,92,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
10171667835,35,0xEE,0x18,0x16,0,,,0x73,0x73,1,ee 18 16 e0 c3 5e 2b ae d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 73
10171667866,31,0xEE,0x18,0x16,0,,,0x98,0x98,1,ee 18 16 e0 c3 5e 2b b0 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 98
10171667898,32,0xEE,0x10,0x00,0,,,0x2B,0x9B,0,ee 10 00 03 0d 40 00 00 00 32 1c ee 18 16 df c3 5e 2b
10171667924,26,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
10171768050,100126,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
10171768143,93,0xEE,0x18,0x16,0,,,0x73,0x73,1,ee 18 16 e0 c3 5e 2b ae d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 73
10171768179,36,0xEE,0x18,0x16,0,,,0xE4,0xE4,1,ee 18 16 e0 c3 5e 2b b2 d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c e4
10171768209,30,0xEE,0x18,0x16,0,,,0x73,0x73,1,ee 18 16 e0 c3 5e 2b ae d7 8a 56 b4 02 7c e0 03 1f f8 c0 07 3e f0 81 0f 7c 73
